CELLNAME	DRUG	AUC
7860	125973	0.7416
7860	125973	0.6797
7860	125973	0.6874
7860	125973	0.7988
7860	125973	0.648
7860	125973	0.5502
7860	125973	0.6893
7860	125973	0.6697
7860	125973	0.6813
7860	125973	0.7132
7860	125973	0.7853
7860	125973	0.6634
7860	125973	0.6659
7860	125973	0.6737
7860	125973	0.748
7860	125973	0.726
7860	125973	0.7049
7860	125973	0.64
7860	125973	0.5749
7860	125973	0.6556
7860	125973	0.6104
7860	127716	0.9202
7860	127716	0.8781
7860	127716	0.9008
7860	127716	0.9082
7860	129185	0.8486
7860	129185	0.8320000000000001
7860	134727	0.9338
7860	134727	0.9515
7860	13875	0.977
7860	13875	1.0
7860	13875	0.965
7860	13875	0.9978
7860	13875	1.0
7860	13875	1.0
7860	13875	1.0
7860	13875	0.9999
7860	13875	0.9947
7860	13875	0.9941
7860	13875	0.9877
7860	13875	1.0
7860	13875	0.9914
7860	13875	0.9367
7860	13875	0.9691
7860	13875	1.0
7860	138783	0.9867
7860	138783	0.9887
7860	138783	0.9791
7860	1390	0.9607
7860	1390	1.0
7860	1390	0.9877
7860	1390	0.9992
7860	141540	0.7868
7860	141540	0.8181
7860	141540	0.9981
7860	141540	0.9971
7860	141540	0.862
7860	141540	0.9639
7860	141540	0.9958
7860	141540	0.9889
7860	141540	0.9659
7860	141540	0.9712
7860	141540	0.8105
7860	141540	0.7258
7860	141540	0.7817
7860	141540	0.84
7860	141549	0.7062
7860	141633	0.7375
7860	141633	0.6738
7860	141633	0.7977
7860	141993	0.9057
7860	14229	0.7703
7860	14229	0.7723
7860	145668	0.8303
7860	145668	0.7728
7860	145668	0.8697
7860	145668	0.7869
7860	148958	0.9863
7860	148958	0.9851
7860	148958	0.9691
7860	148958	0.9983
7860	148958	1.0
7860	148958	0.8507
7860	148958	0.9936
7860	150817	0.9129
7860	154948	0.7275
7860	154948	0.7291
7860	156303	0.7087
7860	163039	0.9975
7860	163661	0.9875
7860	169434	0.8615
7860	169780	0.9791
7860	169780	0.9676
7860	169780	0.9948
7860	169780	0.9834
7860	170984	0.7998
7860	170984	0.778
7860	170984	0.8414
7860	170984	0.8578
7860	17474	0.8732
7860	17474	0.8386
7860	177023	1.0
7860	180973	0.821
7860	180973	0.8029999999999999
7860	180973	0.8754
7860	180973	0.8363
7860	180973	0.8648
7860	180973	0.8401
7860	180973	0.8429
7860	180973	0.7872
7860	180973	0.879
7860	180973	0.8598
7860	180973	0.8740000000000001
7860	180973	0.8196
7860	180973	0.7905
7860	180973	0.7415
7860	180973	0.8223
7860	180973	0.7915
7860	180973	0.8113
7860	180973	0.7891
7860	180973	0.8158
7860	180973	0.7988
7860	180973	0.7913
7860	180973	0.8765
7860	180973	0.8405
7860	180973	0.8359
7860	180973	1.0
7860	180973	0.992
7860	184849	0.8412
7860	184849	0.8487
7860	18509	1.0
7860	19987	0.9947
7860	20256	0.9714
7860	208734	0.601
7860	208734	0.5383
7860	208734	0.5176
7860	208734	0.3891
7860	208734	0.5087
7860	208734	0.4641
7860	208734	0.5406
7860	208734	0.5555
7860	208734	0.4278
7860	208734	0.4113
7860	208734	0.5239
7860	208734	0.5956
7860	208734	0.4903
7860	208734	0.5487
7860	208734	0.5175
7860	218321	0.9986
7860	218321	0.8729
7860	218321	1.0
7860	218321	0.9984
7860	218321	1.0
7860	218321	0.9947
7860	218321	1.0
7860	218321	1.0
7860	218321	0.9984
7860	218321	1.0
7860	218321	1.0
7860	218321	1.0
7860	218321	1.0
7860	218321	1.0
7860	218321	0.9985
7860	226080	0.7855
7860	226080	0.8220000000000001
7860	226080	0.6616
7860	226080	0.7165
7860	226080	0.7442
7860	226080	0.7311
7860	226080	0.7539
7860	226080	0.8328
7860	226080	0.8602
7860	226080	0.7528
7860	226080	0.6629999999999999
7860	226080	0.7388
7860	226080	0.7675
7860	226080	0.7903
7860	226080	0.902
7860	226080	0.8270000000000001
7860	226080	0.7681
7860	226080	0.7725
7860	226080	0.7723
7860	226080	0.7523
7860	226080	0.6769
7860	227189	0.9982
7860	23162	0.9833
7860	23162	0.9556
7860	23759	1.0
7860	23759	1.0
7860	23759	0.9991
7860	23759	1.0
7860	23759	1.0
7860	23759	1.0
7860	23759	1.0
7860	23759	0.9944
7860	23759	1.0
7860	23759	1.0
7860	23759	1.0
7860	23759	0.9969
7860	23759	1.0
7860	23759	1.0
7860	23759	0.9778
7860	23759	1.0
7860	241240	0.9998
7860	241240	0.9998
7860	241240	0.9888
7860	241240	0.9814
7860	241240	0.9996
7860	241240	0.9997
7860	241240	0.9997
7860	241240	0.9989
7860	241240	0.9939
7860	241240	0.9997
7860	241240	0.9785
7860	241240	0.9996
7860	241240	0.9772
7860	241240	0.9819
7860	241240	0.9678
7860	241240	1.0
7860	241240	0.9373
7860	241240	0.9556
7860	241240	0.972
7860	241240	0.9655
7860	241240	0.9725
7860	241240	0.9671
7860	241240	0.9451
7860	241240	0.9694
7860	243115	0.8899
7860	243115	0.8679
7860	24559	0.7265
7860	24559	0.5722
7860	24559	0.6371
7860	24559	0.4315
7860	24559	0.6854
7860	24559	0.5682
7860	24559	0.6995
7860	246131	0.679
7860	246131	0.6958
7860	248616	0.9825
7860	249992	0.6871
7860	249992	0.6663
7860	249992	0.7508
7860	249992	0.6838
7860	249992	0.6622
7860	249992	0.6975
7860	249992	0.7489
7860	249992	0.6469
7860	249992	0.7507
7860	249992	0.6891
7860	249992	0.6477
7860	249992	0.6765
7860	249992	0.6493
7860	249992	0.7142
7860	249992	0.7086
7860	249992	0.7279
7860	249992	0.6622
7860	249992	0.7272
7860	249992	0.6982
7860	249992	0.6409
7860	249992	0.6873
7860	249992	0.6768
7860	249992	0.6607
7860	249992	0.6429
7860	249992	0.6217
7860	249992	0.6834
7860	249992	0.6251
7860	249992	0.6011
7860	249992	0.7076
7860	249992	0.8392
7860	249992	0.6293
7860	249992	0.621
7860	249992	0.6002
7860	249992	0.6143
7860	249992	0.6418
7860	249992	0.6141
7860	249992	0.6563
7860	249992	0.6598
7860	249992	0.6968
7860	249992	0.615
7860	249992	0.5739
7860	249992	0.6746
7860	249992	0.6024
7860	249992	0.6177
7860	249992	0.5171
7860	249992	0.66
7860	249992	0.6236
7860	249992	0.6187
7860	249992	0.6293
7860	249992	0.6943
7860	249992	0.6128
7860	249992	0.6165
7860	249992	0.6392
7860	249992	0.6855
7860	249992	0.6691
7860	249992	0.5896
7860	249992	0.6538
7860	249992	0.6737
7860	249992	0.6908
7860	249992	0.6995
7860	249992	0.7215
7860	249992	0.8531
7860	249992	0.6462
7860	249992	0.6453
7860	249992	0.7141
7860	249992	0.6832
7860	249992	0.6783
7860	249992	0.6384
7860	249992	0.6223
7860	249992	0.6331
7860	249992	0.6983
7860	249992	0.6553
7860	249992	0.6784
7860	249992	0.7193
7860	249992	0.6571
7860	249992	0.7529
7860	249992	0.7218
7860	249992	0.7067
7860	249992	0.6467
7860	249992	0.7525
7860	249992	0.6305
7860	249992	0.6307
7860	249992	0.7137
7860	249992	0.7278
7860	249992	0.6092
7860	249992	0.6616
7860	249992	0.8038
7860	249992	0.7264
7860	249992	0.6675
7860	249992	0.6986
7860	249992	0.6851
7860	249992	0.6651
7860	249992	0.5965
7860	249992	0.7094
7860	249992	0.6931
7860	25154	0.9721
7860	25154	0.9754
7860	25154	0.9834
7860	25154	0.9741
7860	25154	0.9737
7860	25154	0.9841
7860	25154	0.9723
7860	25154	0.9746
7860	25154	0.9835
7860	25154	0.9754
7860	25154	0.9821
7860	25154	0.9755
7860	25154	0.966
7860	25154	0.9671
7860	25154	0.8716
7860	25154	0.9857
7860	25154	0.97
7860	256439	0.4923
7860	256439	0.4107
7860	256439	0.4563
7860	256439	0.6932
7860	256439	0.6534
7860	256857	0.9897
7860	256942	0.7122
7860	256942	0.6723
7860	257473	0.8995
7860	257473	0.8719
7860	257473	0.9286
7860	25953	0.9152
7860	25953	0.9675
7860	25953	0.9375
7860	26271	0.9919
7860	26271	1.0
7860	26271	0.9568
7860	26271	1.0
7860	26271	1.0
7860	26271	1.0
7860	26271	1.0
7860	26271	0.9992
7860	26271	1.0
7860	26271	0.9944
7860	26271	1.0
7860	26271	0.9776
7860	26271	1.0
7860	26271	0.9695
7860	26271	0.9695
7860	26271	1.0
7860	26271	1.0
7860	265489	0.9728
7860	266046	0.8320000000000001
7860	266046	0.7624
7860	266046	0.83
7860	26980	0.759
7860	26980	0.7719
7860	26980	0.7875
7860	26980	0.7207
7860	26980	0.7662
7860	26980	0.7582
7860	26980	0.7637
7860	26980	0.5259
7860	26980	0.735
7860	26980	0.7826
7860	26980	0.7431
7860	26980	0.746
7860	26980	0.7458
7860	26980	0.7424
7860	26980	0.6814
7860	26980	0.7796
7860	26980	0.7387
7860	26980	0.6857
7860	26980	0.7365
7860	26980	0.7014
7860	26980	0.7365
7860	26980	0.8034
7860	26980	0.732
7860	26980	0.7444
7860	26980	0.7257
7860	26980	0.7435
7860	26980	0.8344
7860	26980	0.7274
7860	26980	0.7139
7860	26980	0.7239
7860	26980	0.7938
7860	26980	0.7236
7860	26980	0.7501
7860	26980	0.7358
7860	26980	0.745
7860	26980	0.7498
7860	26980	0.7605
7860	26980	0.7373
7860	26980	0.737
7860	26980	0.747
7860	26980	0.7344
7860	26980	0.7251
7860	26980	0.7197
7860	26980	0.7311
7860	26980	0.7514
7860	26980	0.7496
7860	26980	0.8372
7860	26980	0.7491
7860	26980	0.7249
7860	26980	0.7029
7860	26980	0.7312
7860	26980	0.7544
7860	26980	0.7859999999999999
7860	26980	0.752
7860	26980	0.7637
7860	26980	0.7423
7860	26980	0.7552
7860	26980	0.7998
7860	26980	0.7361
7860	26980	0.727
7860	26980	0.7784
7860	26980	0.7263
7860	26980	0.7133
7860	26980	0.7636
7860	26980	0.8463
7860	26980	0.721
7860	26980	0.8376
7860	26980	0.7347
7860	26980	0.7198
7860	26980	0.7539
7860	26980	0.7107
7860	26980	0.7566
7860	26980	0.7523
7860	26980	0.7611
7860	26980	0.7292
7860	26980	0.8116
7860	26980	0.7371
7860	26980	0.6557
7860	26980	0.7276
7860	26980	0.7278
7860	26980	0.7696
7860	26980	0.7266
7860	26980	0.725
7860	26980	0.8089
7860	26980	0.7661
7860	26980	0.84
7860	26980	0.7804
7860	26980	0.775
7860	26980	0.8506
7860	26980	0.8071
7860	26980	0.7476
7860	26980	0.7752
7860	27640	0.4984
7860	27640	0.5931
7860	27640	0.626
7860	27640	0.5633
7860	27640	0.6603
7860	27640	0.7522
7860	27640	0.6954
7860	27640	0.6479
7860	27640	0.5438
7860	27640	0.7573
7860	27640	0.5457
7860	27640	0.7844
7860	27640	0.7327
7860	27640	0.7983
7860	27640	0.5452
7860	27640	0.6652
7860	27640	0.7954
7860	27640	0.5547
7860	27640	0.5902
7860	27640	0.6163
7860	27640	0.5676
7860	27640	0.5665
7860	27640	0.7842
7860	27640	0.6312
7860	27640	0.73
7860	27640	0.7617
7860	27640	0.7759999999999999
7860	27640	0.4974
7860	27640	0.5961
7860	27640	0.7667
7860	27640	0.7903
7860	27640	0.5697
7860	27640	0.6038
7860	27640	0.6665
7860	27640	0.6422
7860	27640	0.7838
7860	27640	0.6513
7860	27640	0.7835
7860	27640	0.777
7860	27640	0.6237
7860	27640	0.7433
7860	27640	0.6072
7860	27640	0.563
7860	27640	0.8078
7860	27640	0.8113
7860	27640	0.6306
7860	27640	0.5591
7860	27640	0.8208
7860	27640	0.8024
7860	27640	0.5248
7860	27640	0.7846
7860	27640	0.7922
7860	27640	0.6165
7860	27640	0.9367
7860	27640	0.7882
7860	27640	0.5732
7860	27640	0.8026
7860	27640	0.8391
7860	27640	0.5988
7860	27640	0.7418
7860	27640	0.8052
7860	27640	0.9898
7860	27640	0.5712
7860	27640	0.721
7860	27640	0.6286
7860	27640	0.6006
7860	27640	0.851
7860	27640	0.7842
7860	27640	0.6809
7860	27640	0.7913
7860	27640	0.7537
7860	27640	0.7571
7860	27640	0.8098
7860	27640	0.7924
7860	27640	0.9929
7860	27640	0.608
7860	27640	0.7352
7860	27640	0.8151
7860	27640	0.7340000000000001
7860	27640	0.6144
7860	27640	0.7984
7860	27640	0.7058
7860	27640	0.8278
7860	27640	0.6782
7860	27640	0.7951
7860	27640	0.6695
7860	27640	0.7171
7860	27640	0.7544
7860	27640	0.5762
7860	279836	0.4986
7860	279836	0.5222
7860	2833	0.9295
7860	287459	0.8122
7860	287459	0.8087
7860	290193	0.9091
7860	290193	0.8812
7860	292810	0.8774
7860	299589	0.9057
7860	301739	0.6338
7860	301739	0.5642
7860	301739	0.5735
7860	3053	0.5995
7860	3053	0.619
7860	3053	0.5681
7860	3053	0.0416
7860	3053	0.5472
7860	3053	0.5784
7860	3053	0.5283
7860	3053	0.6363
7860	3053	0.589
7860	3053	0.5483
7860	3053	0.5714
7860	3053	0.5467
7860	3053	0.5925
7860	3053	0.5534
7860	3053	0.5701
7860	3053	0.5957
7860	3053	0.6223
7860	3053	0.6416
7860	3053	0.5314
7860	3053	0.5507
7860	3053	0.5408
7860	3053	0.601
7860	3053	0.6206
7860	3053	0.5527
7860	3053	0.5926
7860	3053	0.623
7860	3053	0.3279
7860	3053	0.6281
7860	3053	0.5475
7860	3053	0.5255
7860	3053	0.597
7860	3053	0.5582
7860	3053	0.6302
7860	3053	0.4544
7860	3053	0.452
7860	3053	0.5761
7860	3053	0.6691
7860	3053	0.6269
7860	3053	0.6781
7860	3053	0.6541
7860	3053	0.6523
7860	3053	0.6338
7860	3053	0.6534
7860	3053	0.6835
7860	3053	0.659
7860	3053	0.6696
7860	3053	0.6539
7860	3053	0.465
7860	3053	0.5770000000000001
7860	3053	0.5945
7860	3053	0.5763
